{}type,description
book,"This Signed Barnes & Noble Exclusive Edition features specially designed endpapers, sprayed edges, and an exclusive bonus chapter from Brynne Weaver.From #1 New York Times bestselling author Brynne Weaver comes a wickedly delicious new series where dark romantic comedy meets thrilling suspense—and where falling in love can be a killer.Welcome to Cape Carnage! Visit Once, Stay Forever.You can hide in the farthest reaches of the deepest hell, and I will still drag you out. Even the devil can’t save you from me.Cape Carnage is a seaside town of colorful houses, quirky shops, and an unusually high body count. But with tourists comes trouble, and Harper Starling won’t let anyone ruin her picture-perfect home. A skilled gardener with killer instincts, Harper protects her sanctuary at any cost—especially for her aging mentor with a fading memory. Troublesome tourists don’t check out of Carnage. They compost beneath Harper’s award-winning flowerbeds.But Nolan Rhodes isn’t your average tourist. Devilishly handsome, disarmingly charming, and skilled with a blade, Nolan is relentless in the pursuit of revenge. On every anniversary of the hit-and-run accident that fractured his life, Nolan slays another target. And he’s saved the best for last: the undeniably beautiful Harper Starling. The problem? Harper isn’t the monster he expected. And she won’t go down without a fight.When an amateur true crime investigator comes to Cape Carnage on the trail of a long-lost serial killer, Harper and Nolan strike an uneasy truce. If Nolan helps Harper protect her town, she’ll keep quiet about his hunting habits . . . for now. But their alliance soon spirals into obsession, one that threatens to shatter every secret in Carnage—including their fragile love.Tourist Season is a darkly funny, slow burn enemies-to-lovers romance where destruction and desire are balanced on the edge of a blade—and where love is the most dangerous battleground of all.Tropes:Small-town romanceFish out of waterGrumpy/grumpyForced proximityHe falls firstTouch her/him and dieGroveling"
author," #1 New York Times and USA Today bestselling author and international sensation with works sold worldwide in 25+ countries to date, Brynne Weaver has traveled the world, taken in more stray animals than her husband would probably prefer, and nurtured her love for dark comedies, horror, and romance in both literature and film. During all her adventures, the constant thread in Brynne’s life has been writing. With ten published works and counting, Brynne has made her mark in the literary world by blending irreverent dark comedy, swoon-worthy romance, and riveting suspense to create genre-breaking, addictive stories for readers to escape into."
book,"#1 NEW YORK TIMES BESTSELLER • In this riveting dark fantasy debut, a woman with missing memories fights to survive a war-torn world of necromancy and alchemy—and the man tasked with unearthing the deepest secrets of her past. This stunning hardcover edition features a deluxe jacket with gold foil on the front and a full-color illustration on the reverse, gorgeous designed endpapers, a gold foil case stamp, and, from acclaimed artist Avendell, a black-and-white interior illustration.“What is it you think you’re protecting in that brain of yours? The war is over. Holdfast is dead. The Eternal Flame extinguished. There’s no one left for you to save.” Once a promising alchemist, Helena Marino is now a prisoner—of war and of her own mind. Her Resistance friends and allies have been brutally murdered, her abilities suppressed, and the world she knew destroyed.In the aftermath of a long war, Paladia’s new ruling class of corrupt guild families and depraved necromancers, whose vile undead creatures helped bring about their victory, holds Helena captive.According to Resistance records, she was a healer of little importance within their ranks. But Helena has inexplicable memory loss of the months leading up to her capture, making her enemies wonder: Is she truly as insignificant as she appears, or are her lost memories hiding some vital piece of the Resistance’s final gambit?To uncover the memories buried deep within her mind, Helena is sent to the High Reeve, one of the most powerful and ruthless necromancers in this new world. Trapped on his crumbling estate, Helena’s fight—to protect her lost history and to preserve the last remaining shreds of her former self—is just beginning. For her prison and captor have secrets of their own . . . secrets Helena must unearth, whatever the cost."
author," SenLinYu grew up in the Pacific Northwest and studied classical liberal arts and culture. They started writing in the Notes app of their phone during their baby’s nap time. Their collected online works have garnered more than twenty million individual downloads and have been translated into twenty-three languages. They live in Portland, Oregon, with their family. Alchemised is their first novel."
book,
author,
book,"Over 6.5 Million Copies Sold!#1 New York Times Bestseller#1 Sunday Times Bestseller#1 Amazon Bestseller#1 Audible Bestseller A Life-Changing Tool Millions of People Can’t Stop Talking AboutWhat if the key to happiness, success, and love was as simple as two words?If you've ever felt stuck, overwhelmed, or frustrated with where you are, the problem isn't you. The problem is the power you give to other people. Two simple words—Let Them—will set you free. Free from the opinions, drama, and judgments of others. Free from the exhausting cycle of trying to manage everything and everyone around you. The Let Them Theory puts the power to create a life you love back in your hands—and this book will show you exactly how to do it.In her latest groundbreaking book, The Let Them Theory, Mel Robbins—New York Times bestselling author and one of the world's most respected experts on motivation, confidence, and mindset—teaches you how to stop wasting energy on what you can't control and start focusing on what truly matters: YOU. Your happiness. Your goals. Your life.Using the same no-nonsense, science-backed approach that's made The Mel Robbins Podcast a global sensation, Robbins explains why The Let Them Theory is already loved by millions and how you can apply it in eight key areas of your life to make the biggest impact. Within a few pages, you'll realize how much energy and time you've been wasting trying to control the wrong things—at work, in relationships, and in pursuing your goals—and how this is keeping you from the happiness and success you deserve.Written as an easy-to-understand guide, Robbins shares relatable stories from her own life, highlights key takeaways, relevant research and introduces you to world-renowned experts in psychology, neuroscience, relationships, happiness, and ancient wisdom who champion The Let Them Theory every step of the way.Learn how to:Stop wasting energy on things you can't control Stop comparing yourself to other peopleBreak free from fear and self-doubtRelease the grip of people's expectationsBuild the best friendships of your lifeCreate the love you deservePursue what truly matters to you with confidenceBuild resilience against everyday stressors and distractionsDefine your own path to success, joy, and fulfillment. . . and so much more.The Let Them Theory will forever change the way you think about relationships, control, and personal power. Whether you want to advance your career, motivate others to change, take creative risks, find deeper connections, build better habits, start a new chapter, or simply create more happiness in your life and relationships, this book gives you the mindset and tools to unlock your full potential.Order your copy of The Let Them Theory now and discover how much power you truly have. It all begins with two simple words.The cover has been updated to include the name of co-author Sawyer Robbins. Customers may receive either version of the cover at random."
author," Mel Robbins is the creator and host of the award-winning The Mel Robbins Podcast, one of the most successful podcasts in the world, and a #1 New York Times bestselling author. She has amassed 22 million followers online and is considered the most sought-after expert in life improvement, mindset, and behavior change. The Wall Street Journal calls her a “billion-view podcaster” and TIME magazine says she gives millions of listeners around the globe “a reason to believe in themselves.”Her books have been translated into 50 languages and include the #1 New York Times and Sunday Times bestselling The Let Them Theory, which Oprah Daily named as one of the best books of 2025. She is also the author of the multimillion-copy-selling The 5 Second Rule, The High 5 Habit, and seven #1 audiobook releases on Audible.Robbins is a self-publishing maverick and entrepreneur who has been at the forefront of innovation and disruption in the publishing industry and sits on the board of Amplify Publishing. USA Today calls her “a force to be reckoned with.” 143 Studios Inc., her female-led media company, produces provocative and award-winning content with unprecedented results: millions of books sold, billions of video views, and original courses and professional development education for clients like Starbucks, Ulta Beauty, JPMorgan Chase, LinkedIn, Spotify, Headspace, and Audible.Notable accolades for Robbins include being a Forbes 50 Over 50 Honoree 2023; USA Today Top 5 Mindset & Performance Coaches in the World, 2023; and one of the fifty most influential influencers on The Hollywood Reporter’s Creator A-List in 2024. The Mel Robbins Podcast has won some of the most prestigious awards given to podcasts, including Webby, Signal Awards, and more. It was also recognized as one of Apple Podcasts' Top Shared and Followed Shows of 2024 and 2023, and Spotify Top Global Shows of 2024.Learn more at melrobbins.com."
book,"Order now to receive the stunning DELUXE LIMITED EDITION— only available on the first printing while supplies last! The collector’s hardcover features stenciled edges, case effects, and illustrated endpapers.Dante’s Inferno meets Susanna Clarke’s Piranesi in this all-new dark academia fantasy from R. F. Kuang, the #1 New York Times bestselling author of Babel and Yellowface, in which two graduate students must put aside their rivalry and journey to Hell to save their professor’s soul—perhaps at the cost of their own. Katabasis, noun, Ancient Greek:The story of a hero’s descent to the underworldAlice Law has only ever had one goal: to become one of the brightest minds in the field of Magick. She has sacrificed everything to make that a reality: her pride, her health, her love life, and most definitely her sanity. All to work with Professor Jacob Grimes at Cambridge, the greatest magician in the world.That is, until he dies in a magical accident that could possibly be her fault.Grimes is now in Hell, and she’s going in after him. Because his recommendation could hold her very future in his now incorporeal hands and even death is not going to stop the pursuit of her dreams….Nor will the fact that her rival, Peter Murdoch, has come to the very same conclusion.With nothing but the tales of Orpheus and Dante to guide them, enough chalk to draw the Pentagrams necessary for their spells, and the burning desire to make all the academic trauma mean anything, they set off across Hell to save a man they don’t even like.But Hell is not like the storybooks say, Magick isn’t always the answer, and there’s something in Alice and Peter’s past that could forge them into the perfect allies…or lead to their doom."
author," Rebecca F. Kuang is the #1 New York Times and #1 Sunday Times bestselling author of the Poppy War trilogy, Babel: An Arcane History, and Yellowface. Her work has won the Nebula, Locus, Crawford, and British Book Awards. A Marshall Scholar, she has an MPhil in Chinese Studies from Cambridge and an MSc in Contemporary Chinese Studies from Oxford. She is now pursuing a PhD in East Asian Languages and Literatures at Yale, where she studies diaspora, contemporary Sinophone literature, and Asian American literature."
book,"INTERNATIONAL BESTSELLER • WINNER OF THE SWEDISH BOOK OF THE YEAR AWARD • A profoundly moving debut novel that follows an elderly man’s attempts to mend his relationship with his son before it’s too late: an emotional story of love, friendship, fatherhood, dogs, and atonement that is already an international sensation. ""One of those ‘you’ll laugh, you’ll cry, you’ll want to buy twenty copies and give them to everyone you love’ books.” —Fredrik Backman, bestselling author of A Man Called Ove, in The New Yorker “A powerful, sneakily emotional meditation on life and death, and the foundational relationships in our lives. This is a book that will echo in your soul.” —Garth Stein, New York Times bestselling author of The Art of Racing in the RainBo is running out of time. Yet time is one of the few things he’s got left. These days, his quiet existence is broken up only by daily visits from his home care team. Fortunately, he still has his beloved elkhound Sixten to keep him company … though now his son, with whom Bo has had a rocky relationship, insists upon taking the dog away, claiming that Bo has grown too old to properly care for him. The threat of losing Sixten stirs up a whirlwind of emotion, leading Bo to take stock of his life, his relationships, and the imperfect way he’s expressed his love over the years."
author," Lisa Ridzén is a doctoral student in sociology, researching masculinity norms in the rural communities of the Swedish far north, where she herself was raised and now lives in a small village outside of Östersund. The idea for her debut novel came from the discovery of notes her grandfather’s care team had left the family as he neared the end of his life.Alice Menzies holds a master of arts in Translation Theory and Practice from University College London, specializing in the Scandinavian languages. Her translations include works by Jonas Hassen Khemiri, Fredrik Backman, Tove Alsterdal and Jens Liljestrand. She lives in London."
book,"INSTANT #1 NEW YORK TIMES BESTSELLER • The world’s most celebrated thriller writer and author of The Da Vinci Code returns with his most stunning novel yet—a propulsive, twisty, thought-provoking masterpiece that will entertain readers as only Dan Brown can do.Robert Langdon, esteemed professor of symbology, travels to Prague to attend a groundbreaking lecture by Katherine Solomon—a prominent noetic scientist with whom he has recently begun a relationship. Katherine is on the verge of publishing an explosive book that contains startling discoveries about the nature of human consciousness and threatens to disrupt centuries of established belief. But a brutal murder catapults the trip into chaos, and Katherine suddenly disappears along with her manuscript. Langdon finds himself targeted by a powerful organization and hunted by a chilling assailant sprung from Prague’s most ancient mythology. As the plot expands into London and New York, Langdon desperately searches for Katherine . . . and for answers. In a thrilling race through the dual worlds of futuristic science and mystical lore, he uncovers a shocking truth about a secret project that will forever change the way we think about the human mind."
author," Dan Brown is the author of eight #1 bestselling novels, including The Da Vinci Code, which has become one of the bestselling books of all time, as well as Origin, Inferno, The Lost Symbol, and Angels & Demons. His thrillers have captivated readers worldwide and been the subject of intellectual debate and speculation. He is also the author of the bestselling children’s book Wild Symphony. Brown’s novels are published in 56 languages internationally, with over 250 million copies in print."
book,"Over two million copies sold! Soon to be a major motion picture starring Sydney Sweeney and Amanda Seyfried—trailer out now!Don't miss the #1 New York Times and USA Today bestseller and addictive psychological thriller with a jaw-dropping twist that’s burning up Instagram and TikTok—Freida McFadden’s The Housemaid is perfect for fans of Ruth Ware, Lisa Jewell, and Verity. Every day I clean the Winchesters’ beautiful house top to bottom. I collect their daughter from school. And I cook a delicious meal for the whole family before heading up to eat alone in my tiny room on the top floor. I try to ignore how Nina makes a mess just to watch me clean it up. How she tells strange lies about her own daughter. And how her husband Andrew seems more broken every day. But as I look into Andrew’s handsome brown eyes, so full of pain, it’s hard not to imagine what it would be like to live Nina’s life. The walk-in closet, the fancy car, the perfect husband. I only try on one of Nina’s pristine white dresses once. Just to see what it’s like. But she soon finds out… and by the time I realize my attic bedroom door only locks from the outside, it’s far too late. But I reassure myself: the Winchesters don’t know who I really am. They don’t know what I’m capable of…"
author," New York Times, USA Today, and #1 Amazon bestselling author Freida McFadden is a practicing physician specializing in brain injury who has penned multiple Kindle bestselling psychological thrillers and medical humor novels. She lives with her family and black cat in a centuries-old three-story home overlooking the ocean, with staircases that creak and moan with each step, and nobody could hear you if you scream. Unless you scream really loudly, maybe."
book,"For the first time, and with surprising and revealing insights, former Vice President Kamala Harris tells the story of one of the wildest and most consequential presidential campaigns in American history.Your Secret Service code name is Pioneer. You are the first woman in history to be elected vice president of the United States. On July 21, 2024, your running mate, Joe Biden, announces that he will not be seeking reelection. The presidential election will occur on November 5, 2024. You have 107 days. From the chaos of campaign strategy sessions to the intensity of debate prep under relentless scrutiny and the private moments that rarely make headlines, Kamala Harris offers an unfiltered look at the pressures, triumphs, and heartbreaks of a history-defining race. With behind-the-scenes details and a voice that is both intimate and urgent, this is more than a political memoir—it’s a chronicle of resilience, leadership, and the high stakes of democracy in action. Written with candor, a unique perspective, and the pace of a page-turning novel, 107 Days takes you inside the race for the presidency as no one has ever done before."
author," Kamala D. Harris served as the forty-ninth vice president of the United States from 2021 to 2025—the first woman in American history to hold the office. She began her career in the Alameda County district attorney’s office before being elected district attorney of San Francisco, where her Back on Track program became a national model for reducing recidivism. As California’s attorney general, Harris prosecuted transnational gangs, big banks that defrauded homeowners, and for-profit colleges that targeted students and veterans. She defended the Affordable Care Act, fought for marriage equality, and pioneered the nation’s first open-data initiative in the criminal justice system. In the United States Senate, Harris fought for civil, immigrant, and voting rights, and gained national recognition for her incisive questioning in committee hearings. As vice president, she led efforts to strengthen global alliances and address child poverty, gun violence, student debt, maternal health, economic opportunity, and reproductive rights—casting more tiebreaking votes than any vice president in history, including for pandemic relief and the largest climate investment ever. Throughout her career, she has always fought for the only client she has ever had: the people."
book,"THE BOOK BEHIND THE FIRST SEASON OF SLOW HORSES, THE APPLE ORIGINAL SERIES STARRING GARY OLDMAN IN HIS EMMY-NOMINATED ROLE AS JACKSON LAMB. Welcome to the thrilling and unnervingly prescient world of the slow horses. This team of MI5 agents is united by one common bond: They've screwed up royally and will do anything to redeem themselves. This deluxe edition of a modern classic includes a foreword by the author, discussion questions for book clubs, and an exclusive short story featuring the slow horses. London, England: Slough House is where washed-up MI5 spies go to while away what’s left of their failed careers. The “slow horses,” as they’re called, have all disgraced themselves in some way to get relegated there. Maybe they botched an Op so badly they can’t be trusted anymore. Maybe they got in the way of an ambitious colleague and had the rug yanked out from under them. Maybe they just got too dependent on the bottle—not unusual in this line of work. One thing they have in common, though, is they want to be back in the action. And most of them would do anything to get there─even if it means having to collaborate with one another. When a young man is abducted and his kidnappers threaten to broadcast his beheading live on the Internet, the slow horses see an opportunity to redeem themselves. But is the victim really who he appears to be?"
author," Mick Herron is a British novelist and short story writer who was born in Newcastle and studied English at Oxford. He is the author of the Slough House espionage series, four Zoë Boehm mysteries, and several standalone novels. His work has won the CWA Diamond Dagger for Lifetime Achievement in Crime Writing, the Gold Dagger for Best Crime Novel, the Steel Dagger for Best Thriller, the Theakston's Novel of the Year Award, the Barry Award and the Ellery Queen Readers Award, and been nominated for the Macavity and Shamus Awards. Slow Horses and Down Cemetery Road have both been adapted into Apple Original series. Mick is a fellow of the Royal Society of Literature. He currently lives in Oxford and writes full-time."
book,"An action-packed thriller and source of the hit Netflix drama where the only way to survive is to play the game!Eighteen-year-old Ryohei Arisu is sick of his life. School sucks, his love life is a joke, and his future feels like impending doom. As he struggles to exist in a world that can’t be bothered with him, Ryohei feels like everything would be better if he were anywhere else. When a strange fireworks show transports him and his friends to a parallel world, Ryohei thinks all his wishes have come true. But this new world isn’t an empty paradise, it’s a vicious game. And the only way to survive is to play.The first game starts with a bang, but Ryohei manages to beat the clock and save his friends. It’s a short-lived victory, however, as they discover that winning only earns them a few days’ grace period. If they want to get home, they’re going to have to start playing a lot harder."
author," In 2004, Haro Aso received Shonen Sunday’s Manga College Award for his short story “YUNGE!” After the success of his 2007 short story “Onigami Amon,” Aso got the chance to start a series of his own—2008’s Hyde & Closer. In 2010, his series Alice in Borderland began serialization in Shonen Sunday S and is now a Netflix live-action drama. Zom 100: Bucket List of the Dead is his follow-up series."
book,"This Barnes & Noble Exclusive Edition features a gold foil jacket and includes 16 extra pages of Bill's twisted life advice!Did you miss him? Admit it, you missed him.The demon that terrorized Gravity Falls is back from the great beyond to finally tell his side of the story in The Book of Bill, written by none other than Bill Cipher himself.Inside, Bill sheds light on his bizarre origins, his sinister effects on human history, the Pines family's most embarrassing secrets, and the key to overthrowing the world (laid out in a handy step-by-step guide). This chaotic and beautifully illustrated tome contains baffling riddles, uncrackable ciphers, lost Journal 3 pages, ways to cheat death, the meaning of life, and a whole chapter on Silly Straws. But most importantly, The Book of Bill is deeply, deeply cursed.Alex Hirsch, #1 New York Times bestselling author, resuscitates this infamous villain and invites fans to a Bill's eye view of the Gravity Falls universe. There are many who believe this book is too dangerous for human hands. But if you can't resist, just know this: Once you make a deal with Bill, it's not so easily undone...Beware: This book travels to dimensions meant for older readers."
author," Alex Hirsch is a writer, animator, voice actor, and director. He is best known for creating Gravity Falls on Disney XD. He was raised in Piedmont, California, and received a BFA in Character Animation from The California Institute of the Arts. He currently lives in Los Angeles and is at work developing projects for film and television. Despite the rumors, he was NOT possessed by a demon while writing this book. We repeat: NOT DEMONICALLY POSSESSED."
book,"NEW YORK TIMES BESTSELLER For the first time, director Rob Reiner and cocreators Christopher Guest, Michael McKean, and Harry Shearer provide the full behind-the-scenes story of the making of the groundbreaking mockumentary This Is Spinal Tap and its upcoming sequel. Since its original release in 1984, This Is Spinal Tap has evolved from a beloved cult film into a cinematic landmark: an all-time comedy classic that pioneered an entire genre, the mockumentary. Now, director Rob Reiner and his cowriters and costars, Christopher Guest, Michael McKean, and Harry Shearer, tell the complete story of the movie and its fictitious band—how they met, how Spinal Tap came to be, and how their low-budget indie film took on a life of its own. Years after the movie first came out, the Library of Congress selected This Is Spinal Tap for inclusion in the National Film Registry and Tap went on to play The Royal Albert Hall, Wembley Stadium, and to over 100,000 fans at the Glastonbury Festival in England. Reiner, Guest, McKean, and Shearer provide the backstories to the movie’s famous lines—among them “Hello, Cleveland!,” “None more black,” “You can’t dust for vomit,” and “These go to eleven”—and to such Tap anthems as “Big Bottom” and “Stonehenge.” Featuring never-before-seen photographs, band memorabilia, and personal reminiscences of their enduring creative partnership, A Fine Line Between Stupid and Clever will delight Tap-heads of all ages—just as the long-awaited Spinal Tap sequel is hitting theaters. BUT WAIT, THERE’S MORE! A Fine Line Between Stupid and Clever also comes with a bonus memoir by Reiner’s directorial alter ego, Marty DiBergi, in which he interviews Tap band members Nigel Tufnel, David St. Hubbins, and Derek Smalls about their musical journey and their drummers who paid the ultimate sacrifice to the rock gods."
